word_overlap,similarity
1.0,1.0000004
1.0,0.99999964
1.0,1.0000002
1.0,0.99999976
1.0,1.0
1.0,0.99999976
1.0,1.0000002
1.0,0.9999999
1.0,1.0000002
1.0,0.99999964
1.0,0.9999997
1.0,0.99999994
1.0,0.99999994
1.0,0.9999995
1.0,0.99999976
1.0,1.0
1.0,0.9999999
1.0,0.99999964
1.0,1.0
1.0,0.99999976
1.0,0.99999964
1.0,1.0000002
1.0,0.99999976
1.0,0.9175961
1.0,0.8401104
1.0,0.85533977
1.0,0.99999994
1.0,0.9999998
1.0,1.0000001
1.0,1.0
1.0,1.0000002
1.0,1.0000001
1.0,0.9999999
1.0,1.0000005
1.0,1.0
1.0,0.99999994
1.0,1.0
1.0,1.0
1.0,1.0000002
1.0,0.8770983
1.0,0.84392357
1.0,0.78356916
1.0,0.8324127
1.0,0.81368667
1.0,0.8241215
1.0,1.0000001
1.0,1.0000002
1.0,0.9548469
1.0,0.9548469
1.0,1.0000002
1.0,0.9548469
1.0,0.89909226
1.0,1.0000002
1.0,1.0000002
1.0,0.9548469
1.0,0.9548467
1.0,1.0000002
1.0,0.9548469
1.0,0.9548469
1.0,0.9548469
1.0,1.0000002
1.0,1.0
1.0,1.0000001
1.0,1.0
1.0,1.0000005
1.0,1.0
1.0,0.9999999
1.0,0.99999994
1.0,1.0000004
1.0,1.0
1.0,1.0000006
1.0,0.9999999
1.0,1.0000001
1.0,1.0000002
1.0,0.7594266
1.0,0.87272894
1.0,0.71385807
1.0,0.6983601
1.0,0.8335867
1.0,0.84706414
1.0,1.0000001
1.0,0.77149636
1.0,0.8494817
1.0,0.7863904
1.0,0.812704
1.0,1.0000002
1.0,0.99999964
1.0,0.79421794
1.0,0.86324227
1.0,0.77990973
1.0,0.79833716
1.0,0.7973948
1.0,0.8064293
1.0,0.80120474
1.0,1.0000005
1.0,1.0000001
1.0,0.99999994
1.0,0.9999997
1.0,1.0000002
1.0,0.9999996
1.0,0.9999995
1.0,0.99999976
1.0,1.0000001
1.0,0.99999964
1.0,0.99999964
1.0,1.0000001
1.0,1.0000002
1.0,1.0000002
1.0,0.99999994
1.0,0.9548469
1.0,0.9548469
1.0,0.99999994
1.0,0.99999994
1.0,0.9548469
1.0,0.99999994
1.0,0.9548469
1.0,0.9548469
1.0,0.9548469
1.0,0.9548469
1.0,0.99999994
1.0,0.99999994
1.0,0.99999994
1.0,0.99999946
1.0,1.0000001
1.0,0.9999999
1.0,1.0
1.0,0.9999999
1.0,1.0
1.0,1.0000002
1.0,0.9999998
1.0,0.99999964
1.0,1.0
1.0,1.0000004
1.0,0.99999994
1.0,0.9999998
1.0,1.0000001
1.0,1.0000001
1.0,1.0
1.0,1.0000002
1.0,1.0
1.0,1.0000001
1.0,1.0
1.0,1.0000002
1.0,0.9999998
1.0,1.0
1.0,1.0000002
1.0,1.0
1.0,0.7277621
1.0,0.99999964
1.0,0.99999994
1.0,1.0
1.0,1.0
1.0,1.0000002
1.0,1.0000001
1.0,0.9999997
1.0,1.0
1.0,0.9999999
1.0,1.0
1.0,1.0
1.0,0.9999999
1.0,1.0000002
1.0,0.9999999
1.0,0.9999997
1.0,0.99999976
1.0,0.88725907
1.0,0.825323
1.0,0.8086991
1.0,0.71383715
1.0,0.7835318
1.0,0.8406055
1.0,0.9999999
1.0,1.0000004
1.0,1.0000005
1.0,0.6914845
1.0,1.0000006
1.0,0.74352413
1.0,0.72806
1.0,0.72229934
1.0,0.69755197
1.0,1.0000002
1.0,1.0000002
1.0,0.99999994
1.0,1.0000001
1.0,1.0000001
1.0,0.99999976
1.0,1.0
1.0,1.0000002
1.0,1.0000002
1.0,0.99999964
1.0,1.0000001
1.0,1.0000004
1.0,0.99999976
1.0,1.0
1.0,0.9999997
1.0,1.0000005
1.0,1.0000002
1.0,0.9999998
1.0,1.0000007
1.0,1.0
1.0,0.69312096
1.0,0.8419415
1.0,0.8118001
1.0,0.7086216
1.0,1.0
1.0,0.81015825
1.0,0.99999976
1.0,0.9999999
1.0,0.86359614
1.0,0.8970258
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0000001
1.0,1.0
1.0,1.0
1.0,1.0000004
1.0,0.99999964
1.0,1.0000002
1.0,1.0
1.0,1.0000002
1.0,0.99999976
1.0,0.86885065
1.0,0.9999995
1.0,0.9999999
1.0,1.0
1.0,0.9999999
1.0,1.0000002
1.0,1.0000002
1.0,0.9999999
1.0,1.0
1.0,1.0000001
1.0,1.0000001
1.0,0.9999997
1.0,0.99999976
1.0,0.99999964
1.0,0.9999998
1.0,0.9999999
1.0,1.0000001
1.0,0.9999996
1.0,0.75514627
1.0,0.84144795
1.0,0.88643223
1.0,0.7795596
1.0,0.90094125
1.0,0.8822142
1.0,0.89241755
1.0,0.84869754
1.0,0.7493211
1.0,0.88541055
1.0,0.8177427
1.0,0.9999998
1.0,1.0000002
1.0,0.8421378
1.0,0.7679326
1.0,0.8084499
1.0,0.7778341
1.0,0.8116816
1.0,0.8476313
1.0,1.0000002
1.0,1.0000002
1.0,0.9548469
1.0,0.9548469
1.0,1.0000002
1.0,1.0000002
1.0,0.9548469
1.0,0.89909226
1.0,1.0000002
1.0,1.0000002
1.0,1.0000002
1.0,1.0000002
1.0,1.0000002
1.0,1.0000002
1.0,0.9548469
1.0,0.9548467
1.0,1.0000002
1.0,0.9548469
1.0,0.9548469
1.0,0.9548469
1.0,1.0000002
1.0,1.0000002
1.0,1.0000002
1.0,1.0000002
1.0,1.0000002
1.0,0.99999994
1.0,1.0000001
1.0,0.99999934
1.0,1.0000001
1.0,1.0000004
1.0,0.9999999
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8977597
1.0,1.0
1.0,1.0
1.0,0.916975
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8977597
1.0,1.0
1.0,0.9861972
1.0,0.90672547
1.0,0.916975
1.0,0.9893462
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999999
1.0,0.99999994
1.0,1.0000002
1.0,1.0000001
1.0,1.0
1.0,0.99999994
1.0,0.9999995
1.0,1.0000004
1.0,0.9999999
1.0,1.0000002
1.0,0.9548469
1.0,1.0000002
1.0,0.99999946
1.0,0.99999994
1.0,1.0000004
1.0,0.9999999
1.0,1.0000002
1.0,1.0000004
1.0,0.99999994
1.0,0.9999999
1.0,0.99999994
1.0,0.9999996
1.0,1.0000001
1.0,1.0
1.0,1.0
1.0,1.0000002
1.0,0.9999999
1.0,0.9893462
1.0,0.9893462
1.0,0.9893462
1.0,0.89810604
1.0,0.9999999
1.0,0.9999998
1.0,1.0000005
1.0,0.9999998
1.0,0.99999994
1.0,1.0000002
1.0,0.9999995
1.0,1.0
1.0,1.0000002
1.0,0.8506383
1.0,0.9999999
1.0,1.0
1.0,1.0
1.0,0.83757186
1.0,0.8491008
1.0,0.9548469
1.0,0.99999994
1.0,0.99999994
1.0,0.9548469
1.0,0.99999994
1.0,0.8758413
1.0,0.9548469
1.0,0.9548469
1.0,1.0
1.0,0.99999994
1.0,0.9548469
1.0,0.99999994
1.0,0.99999994
1.0,0.99999994
1.0,0.9548469
1.0,1.0000002
1.0,0.9999998
1.0,0.99999976
1.0,0.99999994
1.0,0.84780455
1.0,0.8735695
1.0,0.8086274
1.0,0.76896536
1.0,0.89690703
1.0,0.8152312
1.0,0.85226
1.0,0.7684075
1.0,0.8215457
1.0,0.8179072
1.0,0.8554326
1.0,0.8590809
1.0,0.77018356
1.0,0.81077087
1.0,0.87876177
1.0,0.79250944
